"test_id","status","test_group","query","expected_dataset_id","expected_context_layer","expected_dataset_parameters","expected_nudge_type","expected_nudge_options","expected_text","expected_forbidden_tools","difficulty","behaviour","lineage","verified"
"ch-map-001","ready","land-cover","Show land cover on the map","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-002","ready","land-cover","Put the land cover map on","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-003","ready","land-cover","Show me a map of land cover classes","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-004","ready","land-cover","Display land cover on the map","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-005","ready","land-cover","Show where cropland and built-up land are on the map","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-006","ready","land-cover","Map the change in land cover classes over time","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-007","ready","land-cover","Show land cover change on the map","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-008","ready","land-cover","Show me the bare ground, water and snow classes on the map","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-009","ready","land-cover","Map what the land is covered by: trees, crops, water, built-up","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-010","ready","land-cover","landcover","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","one word, no space","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
