manifest_id,intent,eval_subtype,aoi_ids,start_year,end_year,start_date,end_date,canopy_cover,forest_filter,intersections,crop_types,gas_types,land_cover_classes,date_expression,expected_language,phrasing,n_cases,judge_note,notes,evaluators
m-ialert-quant-01,quantification,disturbed_area,BRA,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,direct,2,"Headline is total disturbed/alert area (area_ha) summed over 2024 for the whole country; no ecosystem or driver breakdown.",,
m-ialert-quant-02,quantification,disturbed_area,COD,,,2024-01-01,2024-06-30,,,,,,,absolute_date_range,en,direct,1,"Headline is total alert area (area_ha) for 1 Jan to 30 Jun 2024.",,
m-ialert-quant-03,quantification,by_confidence,IDN,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,direct,2,"Split total alert area (area_ha) by confidence tier (low/high/highest) over 2024; 'highest' may be absent where only one system covered the area, which is not an error; expected as a pie chart.",,
m-ialert-quant-04,quantification,disturbed_area,PER,,,2024-05-01,2024-05-31,,,,,,,absolute_date,en,conversational,1,"Headline is total alert area (area_ha) for May 2024 (single month).",,
m-ialert-quant-05,quantification,by_confidence,BRA,,,2024-04-01,2024-09-30,,,,,,,absolute_date_range,en,direct,1,"Split alert area (area_ha) by confidence tier for 1 Apr to 30 Sep 2024.",,
m-ialert-quant-06,quantification,disturbed_area,IDN,,,2025-04-01,2025-06-30,,,,,,,relative_recent,en,imprecise,1,"Relative 'last three months' resolved to 2025-04-01..2025-06-30; headline is total alert area (area_ha). Recent alerts may include not-yet-confirmed false positives (caveat context only).",recent window,
m-ialert-quant-07,quantification,by_confidence,COL,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,conversational,1,"Split alert area (area_ha) by confidence tier over 2024.",,
m-ialert-quant-08,quantification,disturbed_area,GBR,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,imprecise,1,"Headline is total alert area (area_ha) over 2024; magnitudes are small, honest rounding in hectares passes.",near-zero AOI,
m-ialert-quant-09,quantification,disturbed_area,MYS,,,2024-02-01,2024-07-31,,,,,,,absolute_date_range,en,direct,1,"Headline is total alert area (area_ha) for 1 Feb to 31 Jul 2024.",,
m-ialert-quant-10,quantification,by_confidence,CIV,,,2024-01-01,2024-06-30,,,,,,,absolute_date_range,en,direct,1,"Split alert area (area_ha) by confidence tier for 1 Jan to 30 Jun 2024.",,
