manifest_id,intent,eval_subtype,aoi_ids,start_year,end_year,start_date,end_date,canopy_cover,forest_filter,intersections,crop_types,gas_types,land_cover_classes,date_expression,expected_language,phrasing,n_cases,judge_note,notes,evaluators
m-ialert-comp-01,comparison,two_country,BRA;IDN,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,direct,2,Compare total alert area (area_ha) over 2024 for the two countries; which is higher is the verifiable core.,,
m-ialert-comp-02,comparison,two_country,COD;PER,,,2024-01-01,2024-06-30,,,,,,,absolute_date_range,en,direct,1,Compare total alert area (area_ha) for 1 Jan to 30 Jun 2024.,,
m-ialert-comp-03,comparison,two_country,GBR;CRI,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,direct,1,Compare total alert area (area_ha) over 2024; both values are small but the comparative direction must be correct.,near-zero pair,
m-ialert-comp-04,comparison,two_country,IDN;MYS,,,2024-03-01,2024-08-31,,,,,,,absolute_date_range,en,conversational,1,Compare total alert area (area_ha) for 1 Mar to 31 Aug 2024.,,
m-ialert-comp-05,comparison,two_period,BRA,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,direct,1,Compare the two halves of 2024 (2024-01-01..2024-06-30 vs 2024-07-01..2024-12-31) for total alert area (area_ha).,,clarification;aoi;dataset;parameters;data_pull;answer;chart_type;ground_truth
m-ialert-comp-06,comparison,two_period,IDN,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,direct,1,Compare the two halves of 2024 (2024-01-01..2024-06-30 vs 2024-07-01..2024-12-31) for total alert area (area_ha).,,clarification;aoi;dataset;parameters;data_pull;answer;chart_type;ground_truth
m-ialert-comp-07,comparison,two_period,COD,,,2024-07-01,2025-06-30,,,,,,,absolute_date_range,en,direct,1,Compare 2024-07-01..2024-12-31 vs 2025-01-01..2025-06-30 for total alert area (area_ha).,,clarification;aoi;dataset;parameters;data_pull;answer;chart_type;ground_truth
m-ialert-comp-08,comparison,two_country,BRA;COD,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,conversational,2,Compare total alert area (area_ha) over 2024.,,
m-ialert-comp-09,comparison,two_country,GHA;CIV,,,2024-01-01,2024-06-30,,,,,,,absolute_date_range,en,imprecise,1,Compare total alert area (area_ha) for 1 Jan to 30 Jun 2024.,,
m-ialert-comp-10,comparison,two_period,PER,,,2024-01-01,2024-12-31,,,,,,,absolute_date_range,en,direct,1,Compare the two halves of 2024 (2024-01-01..2024-06-30 vs 2024-07-01..2024-12-31) for total alert area (area_ha).,,clarification;aoi;dataset;parameters;data_pull;answer;chart_type;ground_truth
